X,Y,name,type,description,gx_media_links
-118.2411586,34.0424309,Crushow (5th and Stanford),Community Handwashing Station,"<img src=""https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/pg5qfmqk9al0lc4fprd01gfa9g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbY7VONJ5pMdub8Xlf1PgOU-ipXxI8Un8DbLD0mNhcpmr5PikZwhpWXAz4cox48HI4fkNDC6DUBhCn_pA9ZPaa128mf-VqqHeC19PTNwkclUyhUKcPErpzu-aC-VWcEUYagCvFXv7CXN31Ufjip5kx0ROZFCY-0Vcxm7SK17s2sK98-diObAYZnnUaf8K3gfoxp?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/21/2020: Crushow is our partner on 5th at Stanford, serving his many neighbors. He's also the artist who created our first LACAN Big CAN!<br><br><img src=""https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/5jqa4t55t0fdcvva7la1b81fa4/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vb4BtTK4g-nhFZvfFBy4nUtymSGvmv9TEuul0HIl72ckpDL31MpIafjYWlXuSd03nPh-BfgYHxQrBlA547bxEyM4jwgOzVxg22MKp0KgC5vfBvLRVG4r_Qs8e6L9gzaXrOXDOTTI1cbkDi1m_FqvUYZrSTpNIR-rfdrOoALzH_pd26HMolF_aeLeJ0TmcUOkTr5?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-0k-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/icebiumehmp126i6fbbkb7ssas/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZs7Nm8ZYYORuJdNwHKDJXW3Elbo9ZhFiy2hM2bcoHfwuoKQBQW8Hh1eVAtybY42IQrXb75lAbkDf1mUMqCmvjEU79LGxBG52B4aDVTPSssgaAACUnydKN30f5XJdwHtAfPE0E3EtaIUxmc67kpPZ7O7Kr3wpr-mhpX8u377XAngi1tyU5JEIrPUf4GvgTwLQjL?session=0&fife"" height=""200"" width=""auto"" />",https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/pg5qfmqk9al0lc4fprd01gfa9g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbY7VONJ5pMdub8Xlf1PgOU-ipXxI8Un8DbLD0mNhcpmr5PikZwhpWXAz4cox48HI4fkNDC6DUBhCn_pA9ZPaa128mf-VqqHeC19PTNwkclUyhUKcPErpzu-aC-VWcEUYagCvFXv7CXN31Ufjip5kx0ROZFCY-0Vcxm7SK17s2sK98-diObAYZnnUaf8K3gfoxp?session=0&fife https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/5jqa4t55t0fdcvva7la1b81fa4/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vb4BtTK4g-nhFZvfFBy4nUtymSGvmv9TEuul0HIl72ckpDL31MpIafjYWlXuSd03nPh-BfgYHxQrBlA547bxEyM4jwgOzVxg22MKp0KgC5vfBvLRVG4r_Qs8e6L9gzaXrOXDOTTI1cbkDi1m_FqvUYZrSTpNIR-rfdrOoALzH_pd26HMolF_aeLeJ0TmcUOkTr5?session=0&fife https://doc-0k-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/icebiumehmp126i6fbbkb7ssas/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZs7Nm8ZYYORuJdNwHKDJXW3Elbo9ZhFiy2hM2bcoHfwuoKQBQW8Hh1eVAtybY42IQrXb75lAbkDf1mUMqCmvjEU79LGxBG52B4aDVTPSssgaAACUnydKN30f5XJdwHtAfPE0E3EtaIUxmc67kpPZ7O7Kr3wpr-mhpX8u377XAngi1tyU5JEIrPUf4GvgTwLQjL?session=0&fife
-118.2465981,34.0452904,Cue (5th and Maple),Community Handwashing Station,"<img src=""https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/lq3l8beo5sl3ved698udfaqh54/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZD2jGpijV8UEtvdtIGlqE4hFp7yvf0Iob1RN2JuW2-0WlUPgT0Cw6gnU0Lf8UEmj3mDXsLAMPEee_PTzWaGEnumvNPw2qrIyfHwigdiPBJLV61Q4909uba_sbRQb0HZUimy08-5LvKhoZDM-7Z8KJh79On7eohIo0-sm0T_ogA6Q3nn-IWVEbaKEe5I7D_vwk?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/20/2020 - Cue helps wash hands at the Church Without Walls - watch: https://www.facebook.com/cue.jnmarie/videos/3293576897327171/",https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/lq3l8beo5sl3ved698udfaqh54/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZD2jGpijV8UEtvdtIGlqE4hFp7yvf0Iob1RN2JuW2-0WlUPgT0Cw6gnU0Lf8UEmj3mDXsLAMPEee_PTzWaGEnumvNPw2qrIyfHwigdiPBJLV61Q4909uba_sbRQb0HZUimy08-5LvKhoZDM-7Z8KJh79On7eohIo0-sm0T_ogA6Q3nn-IWVEbaKEe5I7D_vwk?session=0&fife
-118.2615218,34.0785691,Liberty Street & Reservoir Street,Community Handwashing Station,"<img src=""https://doc-08-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/h6koq4jm0gof16p1c10iud1v0c/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_van7Ezhg_gfQzDRxKpM0iGgKJjCOxf29-tpOJtiLhSB3HR4rEztiVhv02DE66QDqN7Wgk3EDNTqorEo4jW0mK7CiFDWw_WtRoNatTcSLmkXPzAfVMBFRsBHiWufL66Txm7gB4VVtoyXA8Puroc_qaDJoQZM8mw-f3GydonFr8tBJj0jbt1SJSFYINTgtCc8alQ?session=0&fife"" height=""200"" width=""auto"" /><br><br>brought by Street Watch LA  <br>UDPDATE 6/1/2020: We replaced the station with a new BigCAN from LA CAN<br>3/23/2020 ""Unfortunately someone has removed the wash station we set up at Liberty+Resevoir st.""<br>3/21/2020. ""Today we set up another hand washing station in Echo Park, this one for the unhoused community at Liberty+ Resevoir st.""",https://doc-08-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/h6koq4jm0gof16p1c10iud1v0c/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_van7Ezhg_gfQzDRxKpM0iGgKJjCOxf29-tpOJtiLhSB3HR4rEztiVhv02DE66QDqN7Wgk3EDNTqorEo4jW0mK7CiFDWw_WtRoNatTcSLmkXPzAfVMBFRsBHiWufL66Txm7gB4VVtoyXA8Puroc_qaDJoQZM8mw-f3GydonFr8tBJj0jbt1SJSFYINTgtCc8alQ?session=0&fife
-118.2598239,34.0857559,Glendale Boulevard & Effie Street,Community Handwashing Station,"<img src=""https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/v2u4cpj3bh6rar8qo4jdan03qo/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_va1tAR2p1eVbadruWxN-e8vDHEGUzX8qHYzgri21hGc_ZIPr9mqLvZ3lm4QqMUrQmiWEh3T4rff7TX16Pp16-PgcXicjEOFA2kjhQmU7MkKhdAlLw0dWWaoRNBXMPRJTVVehYZTZPZ_ZYY1GIn7sBsV7UZy4nr4Pc-dMyeS6zW9JHXZtOb6wBhbba80ABZ0loE?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/20/2020 - Street Watch LA: ""Today, we gave them a community handwash station that we will service every day""<br><br><img src=""https://doc-14-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/31eutn9idf34sjge2sqf94tq94/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYWO43NzPEjxnQOJxzHBjaJ1XViJ_QdBEGE-7Ezy3A7OTc7xtjmd5uNZLedaftvKtmwZqrmsR5o9uaZzp2fIU9ar9EwLZDG149TSzjI5LyrFVFq75IvPaeggpxZ188XdfF1hNFHicJuJTSmAJ3gSjzeOqaoVd_MW9dbX_9DtdPuQavF7ElpHFALIYnMQmn57ic?session=0&fife"" height=""200"" width=""auto"" />",https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/v2u4cpj3bh6rar8qo4jdan03qo/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_va1tAR2p1eVbadruWxN-e8vDHEGUzX8qHYzgri21hGc_ZIPr9mqLvZ3lm4QqMUrQmiWEh3T4rff7TX16Pp16-PgcXicjEOFA2kjhQmU7MkKhdAlLw0dWWaoRNBXMPRJTVVehYZTZPZ_ZYY1GIn7sBsV7UZy4nr4Pc-dMyeS6zW9JHXZtOb6wBhbba80ABZ0loE?session=0&fife https://doc-14-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/31eutn9idf34sjge2sqf94tq94/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYWO43NzPEjxnQOJxzHBjaJ1XViJ_QdBEGE-7Ezy3A7OTc7xtjmd5uNZLedaftvKtmwZqrmsR5o9uaZzp2fIU9ar9EwLZDG149TSzjI5LyrFVFq75IvPaeggpxZ188XdfF1hNFHicJuJTSmAJ3gSjzeOqaoVd_MW9dbX_9DtdPuQavF7ElpHFALIYnMQmn57ic?session=0&fife
-118.4531374,34.1809973,Cedros & Bessemer,Community Handwashing Station,"Installed 3/22, checked 3/24",
-118.241361,34.0397274,East 6th Street & Ceres Avenue,Community Handwashing Station,"5/31/2020: BigCAN installed, attended by Gregory (photo TK)",
-118.2420129,34.0429702,5th and Towne,Community Handwashing Station,One handwashing station active and operational (as of 7/27/2020),
-118.4754489,33.9949121,SW corner of Hampton & Sunset,Community Handwashing Station,"<img src=""https://doc-0g-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/q617n7lovdomhm9hh97p613h1g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbq9MsSpVbp1btWpjYyVtT1cNM3BiDMs14hpS3tglsujxgzdmRyq1Iea7LRvcFfkLT6-K98VGc1mfnAnH50t-WVvUfmyMbBEj50GFKwXWib0gg_EEu3v3Hd0aA5rORtT-AiWdY5PWTxAEt9yIWYMLRHu9ggEGPTKSIIywS7TUNOEb4Fg6GDgZIuydxspbMm0nuC?session=0&fife"" height=""200"" width=""auto"" /><br><br>Installed 3/29/2021, stocked with soap and water",https://doc-0g-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/q617n7lovdomhm9hh97p613h1g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbq9MsSpVbp1btWpjYyVtT1cNM3BiDMs14hpS3tglsujxgzdmRyq1Iea7LRvcFfkLT6-K98VGc1mfnAnH50t-WVvUfmyMbBEj50GFKwXWib0gg_EEu3v3Hd0aA5rORtT-AiWdY5PWTxAEt9yIWYMLRHu9ggEGPTKSIIywS7TUNOEb4Fg6GDgZIuydxspbMm0nuC?session=0&fife
-118.2454665,34.0438186,San Jullian between 5th and 6th,Handwashing Stations not on LAHSA Map,"<a href=""https://www.youtube.com/watch?v=Ey3HsZxZZF0""><img src=""https://img.youtube.com/vi/Ey3HsZxZZF0/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/Ey3HsZxZZF0"">https://www.youtube.com/embed/Ey3HsZxZZF0</a><br><br>3/16/2020 -  water on one side, soap, no towels",https://www.youtube.com/embed/Ey3HsZxZZF0
-118.3288888,34.0952795,Cahuenga Boulevard & Ivar Avenue,Handwashing Stations not on LAHSA Map,"3/26/2020: ""station refilled yesterday; no trans cans/dumpster; porter potty on Ivar; hand wash on Cahuenga; porter potty one there for one week; hand wash for two weeks""",
-118.3282139,34.099791,Ivar Avenue & Selma Avenue,Handwashing Stations not on LAHSA Map,3/26/2020: LASHA map pin is wrong; site not on Cosmo St; 2 porta potties; 1 regular 1 ADA; everything stocked; pre-existing station before pandemic; Five Keys & PIT Stop,
-118.3223726,34.1037717,North Gower Street & Yucca Street,Handwashing Stations not on LAHSA Map,"3/26/2020: ""Not operational. station not on LAHSA map; 1 station; 2 porta potties, 1 ADA""",
-118.2739389,34.0682488,North Park View Street & Beverly Boulevard,Handwashing Stations not on LAHSA Map,3/26/2020: https://twitter.com/shoton35mm/status/1243414988326195202?s=21,
-118.246203,34.0472543,East 4th Street & South Los Angeles Street,Handwashing Stations not on LAHSA Map,3/31/2020: The station was heavily damaged and unusable.,
-118.2942015,34.0636171,6th and S. Berendo St. ,Handwashing Stations not on LAHSA Map,"<img src=""https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/nufmov46kg4u0al1sjl7hfv09k/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYHjbv_bL7YtMUTVw8o6O9EcsJ5_U6g5dzB9J63rwhS08OoTu1f_6P5jPNu9NNd3AnHaSL4Yknwa82sZTyhIeC2zcaeGsrUICG24FXV4GtGViv9tHfdqE7A8ZqD1UpNt-rP0V6VKaJ5RUE-ojYW7GpTYN81ftRboTbdj3q4hmQ18AAPnOUrzaFSQJd2iQISYYI?session=0&fife"" height=""200"" width=""auto"" /><br><br>[not on LAHSA map]<br>4/4/2020: No Water (but some soap and towels). - https://twitter.com/mellemusic/status/1246554830744588290",https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/nufmov46kg4u0al1sjl7hfv09k/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYHjbv_bL7YtMUTVw8o6O9EcsJ5_U6g5dzB9J63rwhS08OoTu1f_6P5jPNu9NNd3AnHaSL4Yknwa82sZTyhIeC2zcaeGsrUICG24FXV4GtGViv9tHfdqE7A8ZqD1UpNt-rP0V6VKaJ5RUE-ojYW7GpTYN81ftRboTbdj3q4hmQ18AAPnOUrzaFSQJd2iQISYYI?session=0&fife
-117.93968,34.134814,Lario Park,Showrs & Refesh Spots,,
-118.391592,34.201973,11825 Sherman Way,Showrs & Refesh Spots,,
-118.159724,34.033987,East Los Angeles Library,Showrs & Refesh Spots,,
-118.278064,34.060126,2230 W 6th St,Showrs & Refesh Spots,,
-118.245992,34.042156,601 San Pedro St,Showrs & Refesh Spots,,
-118.244187,34.043269,526 San Pedro St,Showrs & Refesh Spots,,
-118.243206,34.044652,442 San Pedro St,Showrs & Refesh Spots,,
-118.244256,34.042237,557 Crocker St,Showrs & Refesh Spots,,
-118.245262,34.045061,303 E 5th St,Showrs & Refesh Spots,,
