name,address
Augustus F. Hawkins Natural Park,"57905790 Compton Ave., Los Angeles, CA 90011"
Bird Sanctuary,"2900 N. Vermont Ave., Los Angeles, CA 90027"
Bishop Canyon,"929 Academy Rd., Los Angeles, CA 90012"
Brand Park,"15174 San Fernando Mission Rd., Mission Hills, CA 91345"
Branford Recreation Center,"13306 Branford Street, Arleta, CA 91331"
Cabrillo Beach Bath House,"3800 Stephen M. White Drive, San Pedro, CA"
Chavez Ravine Arboretum,"Chavez Ravine Rd, Los Angeles, CA 90012"
Denker Recreation Center,"1550 W. 35th Place, Los Angeles, CA 90018"
Elysian Park,"929 Academy Road, Los Angeles, CA 90012"
Encino Park,"16953 Ventura Blvd., Encino, CA 91316"
Gladys Park,"6th & Gladys St., Los Angeles, CA 90021"
Griffith Park,"4730 Crystal Springs Drive, Los Angeles, CA 90027"
Harbor Sports Center,"1221 N. Figueroa Place, Wilmington, CA 90744"
Hjelte Sports Center,"16200 Burbank Blvd., Encino, CA 91436"
Irving Schachter Park (formerly Beverwill Mini Park),"2599 Beverwill Dr., Los Angeles, CA 90064"
LA High Memorial Park,"4625 West Olympic Blvd., Los Angeles, CA 90019"
Lake Balboa/Anthony C. Bielenson Park,"6300 Balboa Blvd, Lake Balboa, CA 91406"
Lincoln Park Lake,"3501 Valley Blvd., Los Angeles, CA 90031"
Mae Boyar Park,"23936 Highlander Rd., Canoga Park, CA 91307"
Montecillo de Leo Politi Park,"On Stadium between Scott Road & Academy Road, Los Angeles, CA 90012"
North Atwater Park,"3900 W. Chevy Chase Dr., Los Angeles, CA 90039"
Orcutt Ranch Horticultural Center & Community Garden,"23600 Roscoe Blvd., West Hills, CA 91304"
Pan Pacific Park,"7600 Beverly Blvd., Los Angeles, CA 90036"
Pan Pacific Park Recreation Center,"7600 Beverly Blvd., Los Angeles, CA 90036"
Park Center (Griffith Park),"4730 Crystal Springs Dr., Los Angeles, CA 90027"
Pecan Recreation Center,"145 S. Pecan St., Los Angeles, CA 90033"
Queen Anne Recreation Center,"1240 West Blvd., Los Angeles, CA 90019"
Roger Jessup Park,"12467 Osborne St, Pacoima, CA 91331"
Runnymede Park,"20200 Runnymede St., Winnetka, CA 91306"
Sepulveda Basin Recreation Area,"17017 Burbank Blvd., Encino, CA 91316"
Serrania Park,"20726 Wells Dr., Woodland Hills, CA 91364"
South Los Angeles Sports Activity Center,"7020 S. Figueroa St. Los Angeles, 90003"
Temescal Canyon Park,"15900 Pacific Coast Hwy., Pacific Palisades, CA 90272"
Valley Village Park,"5000 Westpark Drive, North Hollywood, CA 91601"
Woodley Park,"6350 Woodley Ave., Van Nuys, CA 91436"